example_idx,example_id,task_type,complexity_category,position_category,true_sections,predicted_sections,precision,recall,f1_score,true_errors,predicted_errors,tokens_used,total_sections
1206,6a227265a0f907ab417aa6c930de1fd9,code,Single Error,Late Errors,[6],"[1, 2, 5, 6]",0.25,1.0,0.4,1,4,1282,6
569,92783ba27665480546274ea645788582,math,Multiple Errors,Mixed Position,"[3, 12, 14]",[14],1.0,0.3333333333333333,0.5,3,1,3492,16
13,7bc4d21c3999fd28249dbd577680a469,math,Single Error,Middle Errors,[4],"[1, 4]",0.5,1.0,0.6666666666666666,1,2,10039,31
326,f656ac14763609468c22f99dc8d03762,Physics&Chemistry&Biology,Multiple Errors,Late Errors,"[9, 5]","[1, 2, 3, 4, 5, 6, 8, 9]",0.25,1.0,0.4,2,8,3729,9
865,dd3241aa3beaa285b7bb658a19413345,code,Single Error,Late Errors,[8],"[1, 2, 3, 4, 5, 6, 8]",0.14285714285714285,1.0,0.25,1,7,5202,8
696,8d7ed1689ba9308f02b058344fec61f4,Physics&Chemistry&Biology,Multiple Errors,Early Errors,"[3, 4]","[1, 3, 4]",0.6666666666666666,1.0,0.8,2,3,5158,11
318,4b5371da2e35f28c98b4a53285dfaced,Physics&Chemistry&Biology,Single Error,Late Errors,[9],"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.1111111111111111,1.0,0.19999999999999998,1,9,5283,9
440,556624e5ae7c0a628acc3bd401ab1959,math,Multiple Errors,Late Errors,"[5, 4, 21]","[1, 4, 17, 20, 21]",0.4,0.6666666666666666,0.5,3,5,7758,21
689,fa099bcb34015c73acb0e4b07effd7f8,Physics&Chemistry&Biology,Multiple Errors,Early Errors,"[1, 2]",[],0.0,0.0,0.0,2,0,2050,10
189,2b49fb1033f892dee7a6c8616f5d7dd1,math,Single Error,Early Errors,[2],[1],0.0,0.0,0.0,1,1,7485,27
778,5d0e67adc07443d8194f2b6ca812c737,math,Complex Errors,Middle Errors,"[23, 13, 22, 7]","[3, 5, 7, 10, 23]",0.4,0.5,0.4444444444444445,4,5,7240,28
198,94562d04d16de4e03869c6c96618b9fd,general,Single Error,Early Errors,[2],[2],1.0,1.0,1.0,1,1,1870,6
735,b8e61410b17171311e98e39e997f11fc,math,Single Error,Middle Errors,[5],[5],1.0,1.0,1.0,1,1,6017,24
704,6ff6ea21c77c0abca9aef50e8392d467,Physics&Chemistry&Biology,Multiple Errors,Early Errors,"[2, 3]","[1, 3]",0.5,0.5,0.5,2,2,2501,7
541,eaca06164baebd1b6fb76d3be5962398,math,Complex Errors,Early Errors,"[3, 14, 23, 26, 27]","[9, 5, 4, 3, 2, 1]",0.16666666666666666,0.2,0.1818181818181818,5,6,5891,30
88,dcb57ccb4d8517be097c41e32129c19a,math,Single Error,Early Errors,[3],[],0.0,0.0,0.0,1,0,7378,22
940,a7f9bb57576f3fbf8904bfa34dafc375,code,Single Error,Late Errors,[6],"[1, 2, 3, 4, 5]",0.0,0.0,0.0,1,5,1031,6
1098,3426beda945eb6b023633bec35059f8d,code,Multiple Errors,Early Errors,"[2, 3]","[1, 2]",0.5,0.5,0.5,2,2,4561,10
255,30280f9ba6f381167bfd8d186dc1b637,general,Single Error,Middle Errors,[4],"[2, 4]",0.5,1.0,0.6666666666666666,1,2,6770,19
775,8e39a2d8f9c9d730f7e900f87dd5e4cf,math,Complex Errors,Late Errors,"[16, 9, 12, 6]","[1, 5, 11, 16]",0.25,0.25,0.25,4,4,4120,17
161,062c2627fb979475022fd08d2bbefa1f,math,Single Error,Middle Errors,[4],"[3, 4]",0.5,1.0,0.6666666666666666,1,2,6545,7
1130,d5cd94a2c6d71048a69df8e622fcacae,code,Single Error,Mixed Position,[2],"[1, 2]",0.5,1.0,0.6666666666666666,1,2,868,2
600,8ac45a6733175937284f31578c2af0b9,general,Single Error,Early Errors,[1],[1],1.0,1.0,1.0,1,1,7713,30
740,f1ab71f7e0002d3e712d26aa5c24e5b7,math,Single Error,Late Errors,[10],"[1, 10]",0.5,1.0,0.6666666666666666,1,2,1096,10
1182,84f92651b42710072a5c03508e33a576,code,Multiple Errors,Early Errors,"[2, 3]",[2],1.0,0.5,0.6666666666666666,2,1,1752,8
393,c9bd04577ba216081b86255becead29a,math,Multiple Errors,Late Errors,"[24, 13]","[13, 14, 24]",0.6666666666666666,1.0,0.8,2,3,7408,24
142,da6af8fadf16e8d33c6c34facf293558,math,Complex Errors,Late Errors,"[5, 7, 11, 14, 20]","[2, 4, 5, 12, 20]",0.4,0.4,0.4000000000000001,5,5,10557,21
93,5e5cf54ff03ea4b6858672638bb2589a,math,Single Error,Early Errors,[3],[],0.0,0.0,0.0,1,0,7134,29
466,c52eb71c1ad0f670a4c0a1256498917e,math,Multiple Errors,Middle Errors,"[4, 5]",[3],0.0,0.0,0.0,2,1,7755,27
592,29a2daf20fd794a22f188633e32dff0a,general,Single Error,Middle Errors,[4],[3],0.0,0.0,0.0,1,1,3218,11
163,f1f2470036cb6b6ff20e231b27915e5c,math,Multiple Errors,Middle Errors,"[8, 6]","[4, 6]",0.5,0.5,0.5,2,2,5766,17
206,349fd007830407ff0fd73217c1175dfe,general,Multiple Errors,Early Errors,"[2, 3]",[2],1.0,0.5,0.6666666666666666,2,1,7985,37
928,d969c5ae5c75195d9ce11d218b72442e,code,Complex Errors,Mixed Position,"[11, 3, 44, 4]","[11, 19, 43]",0.3333333333333333,0.25,0.28571428571428575,4,3,7463,44
747,f09b87e2d760232cc70ac561eb8328bf,math,Single Error,Middle Errors,[10],[6],0.0,0.0,0.0,1,1,5767,18
333,f9a15d7d808e4f7fff4db7e88f3ff6b1,Physics&Chemistry&Biology,Complex Errors,Middle Errors,"[8, 4, 6, 7]","[3, 5, 6]",0.3333333333333333,0.25,0.28571428571428575,4,3,3960,14
758,ca42df630a1eb4ff7bae38bf0f4c72fd,math,Multiple Errors,Middle Errors,"[5, 14]","[2, 3, 5, 10, 11]",0.2,0.5,0.28571428571428575,2,5,5743,18
727,f14751a402fb4ccaa28a5d9e95943a8f,Physics&Chemistry&Biology,Single Error,Late Errors,[9],"[5, 6, 9]",0.3333333333333333,1.0,0.5,1,3,2241,9
429,af18689f1f50705ed780597da185a901,math,Multiple Errors,Middle Errors,"[12, 20]","[1, 2, 5, 9, 11, 20]",0.16666666666666666,0.5,0.25,2,6,8611,25
546,9b4a1606bfee4f4a25f923c97f3cdc92,math,Single Error,Middle Errors,[19],"[2, 4, 10]",0.0,0.0,0.0,1,3,6395,34
146,27b112a7f129284cb7b4df7955b611ac,math,Single Error,Early Errors,[3],"[1, 3]",0.5,1.0,0.6666666666666666,1,2,8392,37
350,1ddbda411707889dde2d9cfb725b2e14,math,Single Error,Late Errors,[6],"[4, 5, 6]",0.3333333333333333,1.0,0.5,1,3,1943,8
1093,50e7288488542e3d574210cf67ea4f28,code,Multiple Errors,Early Errors,"[3, 4]","[1, 3]",0.5,0.5,0.5,2,2,3745,12
334,315cb7692b7385a79fea97a27b6a63fb,Physics&Chemistry&Biology,Multiple Errors,Middle Errors,"[8, 9, 11]","[3, 4, 5, 9, 10, 11]",0.3333333333333333,0.6666666666666666,0.4444444444444444,3,6,4451,14
946,28f6f5441eaef9d8ef358a0084bfdf93,code,Multiple Errors,Middle Errors,"[8, 7]",[7],1.0,0.5,0.6666666666666666,2,1,4707,30
777,31626fd7929ebc8b8daad48c2b987e33,math,Single Error,Middle Errors,[7],"[1, 2, 3, 4, 6]",0.0,0.0,0.0,1,5,6214,15
552,760cb1e58a297e62793a7d43d6922b75,math,Single Error,Early Errors,[3],"[1, 3]",0.5,1.0,0.6666666666666666,1,2,6967,27
1140,a69c9ebfc95dea0e459e000c315197a1,code,Single Error,Late Errors,[36],"[19, 20, 24, 25, 27, 31, 35]",0.0,0.0,0.0,1,7,7352,36
449,29f98c0ea0d7eeda1fe0664fb377a70f,math,Multiple Errors,Late Errors,"[16, 29, 15]","[5, 12, 14, 19, 23, 27, 29]",0.14285714285714285,0.3333333333333333,0.2,3,7,9650,29
664,64ef61ba10520bfe11ed712bcea840fc,math,Complex Errors,Middle Errors,"[16, 4, 13, 14]","[1, 2, 4, 6, 8, 12, 16]",0.2857142857142857,0.5,0.36363636363636365,4,7,3856,19
114,ecbb1ac86873ccd69ee5ffca52d32459,math,Single Error,Middle Errors,[22],"[6, 20, 22]",0.3333333333333333,1.0,0.5,1,3,8694,27
469,56425f0b2e8dd378f7f3f3fdba55e404,math,Multiple Errors,Late Errors,"[21, 22]","[1, 2, 3, 15, 19, 20, 21, 22]",0.25,1.0,0.4,2,8,5434,23
646,7fc442efb5dddf2df3f06ccca72245c6,math,Complex Errors,Late Errors,"[19, 18, 35, 4]","[3, 8, 9, 12, 13, 16, 18, 20, 25, 30, 34]",0.09090909090909091,0.25,0.13333333333333333,4,11,11937,35
821,ef52cdd419b18361a09bd451006494d4,math,Single Error,Early Errors,[3],[],0.0,0.0,0.0,1,0,1584,9
548,7396ff2b41b5028cd17a4fe0b5aec2f1,math,Multiple Errors,Early Errors,"[3, 5]","[3, 4, 2]",0.3333333333333333,0.5,0.4,2,3,7678,11
135,4583b396e0d7b9ee3c15d206082c370c,math,Multiple Errors,Middle Errors,"[8, 9, 10]","[5, 6, 10]",0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,7068,15
432,23caf4b8705def2eb98a9380eef974bc,math,Single Error,Middle Errors,[15],"[2, 4, 8, 12]",0.0,0.0,0.0,1,4,6337,19
1161,3702c4a1c5481f00000b71a1cd20f35a,code,Multiple Errors,Early Errors,"[3, 4]","[1, 2, 3, 4]",0.5,1.0,0.6666666666666666,2,4,4319,9
644,73d131a70e7c4532c4a5be862189b434,math,Single Error,Early Errors,[3],[],0.0,0.0,0.0,1,0,2722,12
435,b019c32a1dec53d2c9c7d83201f4447c,math,Multiple Errors,Late Errors,"[24, 22]","[5, 6, 8, 12, 24]",0.2,0.5,0.28571428571428575,2,5,3840,26
1022,0eb00d18cb76d420792a7f96127daed2,code,Multiple Errors,Early Errors,"[3, 4]","[2, 3, 4]",0.6666666666666666,1.0,0.8,2,3,8910,33
810,8c6e30298c4d40a5a9855e0136d2683b,general,Single Error,Middle Errors,[4],[4],1.0,1.0,1.0,1,1,5503,13
939,9cd19d42244b7bea9d6072201230b0bf,code,Multiple Errors,Middle Errors,"[10, 12]",[1],0.0,0.0,0.0,2,1,8828,33
292,03cd6be12a1e33dadee3c2211cf5dde3,Physics&Chemistry&Biology,Single Error,Early Errors,[3],[3],1.0,1.0,1.0,1,1,2901,12
542,9dcd2b05a2194d85da2bc9485a3583d1,math,Single Error,Early Errors,[2],[],0.0,0.0,0.0,1,0,5991,14
505,9ef896abd29f20752ccd7bba71583c66,math,Multiple Errors,Middle Errors,"[11, 12]","[11, 12]",1.0,1.0,1.0,2,2,5439,18
1103,622445545433d381892d00345a757cb4,code,Multiple Errors,Mixed Position,"[3, 4]","[3, 4]",1.0,1.0,1.0,2,2,1150,4
538,bb16976556ff0d87600e39bf6379ca4e,math,Multiple Errors,Early Errors,"[1, 10, 7]",[6],0.0,0.0,0.0,3,1,7407,20
1197,bfdbf86a342c385a787b4d610fd992c9,code,Single Error,Late Errors,[4],"[1, 2, 3, 4]",0.25,1.0,0.4,1,4,973,4
877,2245c3237cfa1d3d6589fbfc4fb40d78,math,Complex Errors,Mixed Position,"[2, 6, 20, 22, 23, 24]","[11, 22, 23, 24]",0.75,0.5,0.6,6,4,5721,25
1195,b2852ba4963c2cf78072b3632b8e7dd5,code,Multiple Errors,Late Errors,"[6, 7]","[4, 6, 7]",0.6666666666666666,1.0,0.8,2,3,1285,7
817,443a9ab302e08bc95e436ca21ddcbb3b,general,Single Error,Middle Errors,[5],"[2, 5]",0.5,1.0,0.6666666666666666,1,2,2076,8
741,0e40bca1370e7032233db8b6331488eb,general,Single Error,Early Errors,[3],"[2, 3]",0.5,1.0,0.6666666666666666,1,2,5273,15
283,0a16d0400437fd4d6167afa00a4ab956,Physics&Chemistry&Biology,Multiple Errors,Mixed Position,"[8, 3, 4]","[4, 8]",1.0,0.6666666666666666,0.8,3,2,2402,10
1043,b11ed3f86095be47538c7306d23791d6,code,Single Error,Middle Errors,[7],"[1, 2, 3, 4, 5, 6, 7]",0.14285714285714285,1.0,0.25,1,7,8027,17
1010,87a08116e87c49547a0ac361cec19b93,code,Single Error,Late Errors,[4],"[1, 3, 4]",0.3333333333333333,1.0,0.5,1,3,1002,4
186,841fbd17feb78e3392f2ee2621da867d,math,Multiple Errors,Middle Errors,"[9, 6]","[2, 4, 6]",0.3333333333333333,0.5,0.4,2,3,8072,17
